#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-23T12:46:02 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-23T12:46:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AcA/69/305/table1&-out=Name,GLON,GLAT,Dist,e_Dist,Age,_RA.icrs,_DE.icrs&-out.max=3000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_120690305
#Name: J/AcA/69/305
#Title: Northern Galactic disk classical Cepheids (Skowron+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/aca/69/305	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aca/69/305	    IVOID of underlying data collection
#INFO	creator=Skowron D.M.	    First author or institution
#INFO	cites=bibcode:2019AcA....69..305S	    Article or Data origin sources
#INFO	journal=AcA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AcA/69/305	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.120690305	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AcA_69_305_table1:
#Name: J/AcA/69/305/table1
#Title: Newly detected classical Cepheids
#Column	Name	(a23)	Cepheid ID	[ucd=meta.id;meta.main]
#Column	GLON	(F9.5)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F9.5)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Dist	(I6)	? Distance to the Cepheid	[ucd=pos.distance]
#Column	e_Dist	(I4)	? Distance to the Cepheid error	[ucd=stat.error]
#Column	Age	(I4)	Cepheid age	[ucd=time.age]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Name	GLON	GLAT	Dist	e_Dist	Age	_RA.icrs	_DE.icrs
 	deg	deg	pc	pc	Myr	deg	deg
-----------------------	---------	---------	------	----	----	---------	---------
OGLE-BLG-CEP-065       	000.14177	+01.28542	 19331	 865	 130	265.24454	-28.14047
OGLE-BLG-CEP-018       	000.18909	-02.67713	      	    	 161	269.16121	-30.14166
OGLE-BLG-CEP-078       	000.24164	-01.30227	      	    	 519	267.82537	-29.40102
OGLE-BLG-CEP-063       	000.35541	+01.67398	 18326	1254	 217	264.99970	-27.75342
OGLE-BLG-CEP-059       	000.38447	+01.96189	  6275	 555	 249	264.74183	-27.57572
OGLE-BLG-CEP-098       	000.47060	-06.65564	      	    	 379	273.37975	-31.82411
OGLE-BLG-CEP-058       	000.50243	+02.11348	 20887	 696	 113	264.66804	-27.39519
OGLE-BLG-CEP-082       	000.78516	-01.25514	      	    	 239	268.09616	-28.90953
OGLE-BLG-CEP-024       	000.92608	-03.41198	 11050	 653	 247	270.31979	-29.86780
OGLE-BLG-CEP-060       	000.93668	+02.14174	 20429	 997	 134	264.90078	-27.01275
OGLE-BLG-CEP-047       	001.01307	+03.68211	      	    	  64	263.49242	-26.12286
OGLE-BLG-CEP-080       	001.15305	-00.92199	  5022	 166	 255	267.98296	-28.42330
X_____Sgr              	001.16628	+00.20926	   350	  13	  90	266.89013	-27.83080
OGLE-BLG-CEP-019       	001.16962	-02.11628	  3430	 110	 306	269.16745	-29.01283
OGLE-BLG-CEP-020       	001.20440	-02.27310	  7518	 326	 224	269.34262	-29.06125
OGLE-BLG-CEP-066       	001.49232	+01.73999	 17634	 895	 126	265.61229	-26.75381
OGLE-BLG-CEP-027       	001.56067	-04.30572	  7417	 314	 269	271.57495	-29.75142
W_____Sgr              	001.57578	-03.97956	   412	  18	  85	271.25508	-29.58008
OGLE-BLG-CEP-044       	001.73682	+04.38241	      	    	 358	263.27213	-25.13686
J175258-2736.1         	001.97820	-00.70002	  1309	  32	 107	268.24225	-27.60013
OGLE-BLG-CEP-076       	002.03608	+00.10207	  3184	  70	  66	267.49903	-27.14069
OGLE-BLG-CEP-021       	002.10745	-01.87113	 13081	 633	 262	269.45983	-28.07870
OGLE-BLG-CEP-068       	002.15543	+01.67911	      	    	 477	266.05867	-26.22144
OGLE-BLG-CEP-074       	002.32318	+00.80838	 17226	 753	 142	266.98625	-26.53083
OGLE-BLG-CEP-029       	002.43825	-04.14423	      	    	 179	271.89758	-28.90706
OGLE-BLG-CEP-094       	002.45691	-01.72783	      	    	 480	269.51679	-27.70453
OGLE-BLG-CEP-072       	002.68930	+01.43651	  9920	 442	 213	266.59870	-25.89235
V767__Sgr              	002.69415	-00.14902	  1601	  39	 245	268.11837	-26.70347
V773__Sgr              	002.85322	-00.52700	  1480	  38	  96	268.57341	-26.75828
OGLE-BLG-CEP-091       	003.11136	-01.12969	 13209	 387	  47	269.30237	-26.83880
OGLE-BLG-CEP-070       	003.29347	+02.04078	      	    	 226	266.37458	-25.06236
OGLE-BLG-CEP-067       	003.58965	+02.99334	 20431	 660	 163	265.65087	-24.31233
OGLE-BLG-CEP-092       	003.70636	-00.78884	      	    	  96	269.30599	-26.15317
J180520.08-265854.0    	003.88312	-02.77481	  7536	 235	 127	271.33367	-26.98167
V2744_Oph              	004.12746	+03.71881	  1354	  40	  97	265.28441	-23.47430
OGLE-BLG-CEP-073       	004.26016	+02.18427	 22316	1688	 228	266.79091	-24.16206
OGLE-BLG-CEP-003       	004.34633	+02.88716	      	    	 264	266.18245	-23.72363
OGLE-BLG-CEP-002       	004.56861	+04.84939	      	    	 197	264.49433	-22.50336
OGLE-BLG-CEP-079       	004.61665	+01.21080	 15217	 628	  50	267.90779	-24.35645
J162326-0941.0         	004.84083	+26.82556	  1734	  51	 166	245.85991	-09.68316
OGLE-BLG-CEP-069       	004.99518	+03.36056	      	    	  72	266.10983	-22.92400
OGLE-BLG-CEP-131       	005.01607	-00.43169	  4520	  95	  64	269.68903	-24.84047
J172747.66-202656.1    	005.03207	+07.95097	      	    	  54	261.94858	-20.44892
J249.6223-12.1248      	005.12449	+22.40488	 30850	1814	 271	249.62238	-12.12483
OGLE-BLG-CEP-084       	005.21915	+01.24051	 16668	 750	 141	268.21575	-23.82289
OGLE-BLG-CEP-064       	005.24512	+04.60876	      	    	 335	265.10009	-22.05808
V1828_Sgr              	005.28401	-04.10021	 16825	 941	  64	273.38716	-26.39350
OGLE-BLG-CEP-030       	005.37804	-03.15782	      	    	 645	272.51500	-25.86081
OGLE-BLG-CEP-005       	005.38304	+02.33700	 23081	 774	 169	267.27937	-23.12186
OGLE-BLG-CEP-083       	005.55578	+01.55830	      	    	 284	268.10383	-23.37153
OGLE-BLG-CEP-077       	005.68484	+02.07527	 22576	 898	 174	267.69158	-22.99697
OGLE-BLG-CEP-007       	005.72683	+02.34122	 19902	1028	 259	267.46683	-22.82483
OGLE-BLG-CEP-089       	005.89965	+00.73182	 18336	 507	  91	269.07041	-23.49292
OGLE-BLG-CEP-097       	005.99265	-03.16505	  4624	 476	 213	272.84859	-25.32589
OGLE-BLG-CEP-135       	006.04339	-00.63957	 17897	 943	  83	270.44771	-24.05211
OGLE-BLG-CEP-087       	006.08694	+01.31701	 18754	 605	 165	268.62303	-23.03620
OGLE-BLG-CEP-071       	006.28869	+03.85637	  8954	 892	 144	266.37654	-21.56333
OGLE-BLG-CEP-093       	006.41471	+00.75614	 15875	 811	 127	269.32891	-23.03528
OGLE-BLG-CEP-085       	006.56137	+01.91912	 19670	1687	 242	268.32042	-22.32242
OGLE-BLG-CEP-136       	006.81890	-00.48779	  4777	 148	  57	270.72154	-23.30278
OGLE-BLG-CEP-032       	006.89273	-03.89402	      	    	  84	274.02858	-24.88236
J174254.58-201143.3    	007.14539	+05.08508	 13274	1096	 160	265.72741	-20.19536
OGLE-BLG-CEP-100       	007.24943	-04.29262	      	    	 627	274.60055	-24.75600
OGLE-BLG-CEP-137       	007.40303	-00.50690	  3473	  69	  77	271.05187	-22.80362
OGLE-BLG-CEP-086       	007.50040	+02.20228	 19015	1443	 166	268.56888	-21.36972
OGLE-BLG-CEP-081       	007.52476	+02.79066	 20580	 848	 115	268.03791	-21.05072
AV____Sgr              	007.53352	-00.59362	  2156	  85	  55	271.20324	-22.73244
OGLE-BLG-CEP-134       	007.65438	+00.44193	  6122	 128	  83	270.29282	-22.11703
OGLE-BLG-CEP-088       	007.77711	+02.29486	 21074	 861	 201	268.63288	-21.08430
V5738_Sgr              	007.88550	-00.09899	  2407	  94	  31	270.92392	-22.18298
AP____Sgr              	008.11418	-02.43779	   809	  22	 106	273.26041	-23.11728
OGLE-BLG-CEP-096       	008.11982	+01.36721	 22380	1062	 246	269.67770	-21.25331
OGLE-BLG-CEP-099       	008.30221	-03.18155	      	    	  68	274.06946	-23.30589
OGLE-BLG-CEP-139       	008.35907	-00.05653	  3618	 102	  54	271.13483	-21.74961
J183439.28-250924.0    	008.58279	-07.75263	      	    	 310	278.66366	-25.15667
J268.4127-20.0239      	008.58919	+03.00811	 19314	1213	  50	268.41273	-20.02398
V1996_Sgr              	008.64909	-06.69142	      	    	  54	277.65016	-24.62256
OGLE-BLG-CEP-090       	008.65024	+02.20213	      	    	 175	269.18762	-20.37677
OGLE-BLG-CEP-129       	008.88255	+02.69229	      	    	  85	268.86008	-19.93003
OGLE-BLG-CEP-138       	009.47597	+00.65351	 10077	 222	  45	271.05916	-20.42803
OGLE-BLG-CEP-130       	009.62192	+02.43354	 18131	 785	 150	269.49074	-19.42025
J181024-2049.6         	009.83110	-00.79813	  3679	 167	  41	272.59879	-20.82439
OGLE-BLG-CEP-132       	009.88126	+02.18775	 19736	 866	 211	269.85345	-19.31791
VY____Sgr              	010.12583	-01.08458	  2349	  88	  58	273.01904	-20.70403
J181215-2029.1         	010.33782	-01.01249	  1774	  41	  96	273.06025	-20.48350
V1954_Sgr              	010.56745	-01.73954	  2347	  58	  90	273.85946	-20.62950
J172007.96-122045.3    	010.96907	+13.87363	 18460	 800	 141	260.03317	-12.34592
OGLE-BLG-CEP-140       	011.07869	+00.74121	  2799	  83	  60	271.80995	-18.98703
OGLE-BLG-CEP-143       	011.21875	+00.60479	  9607	 329	  77	272.00800	-18.93097
J180946.70-182238.2    	011.90357	+00.51127	  1863	  46	  83	272.44458	-18.37728
WZ____Sgr              	012.10901	-01.32326	  1783	  78	  45	274.24883	-19.07584
Y_____Sgr              	012.78927	-02.13593	   524	  21	 100	275.34579	-18.86000
V5567_Sgr              	013.11423	-01.88510	  2143	  81	  70	275.27307	-18.45548
OGLE-BLG-CEP-149       	013.23464	-00.20047	  2801	  97	  60	273.77290	-17.55160
AY____Sgr              	013.25637	-02.40733	  1718	  54	  89	275.82978	-18.57475
OGLE-BLG-CEP-155       	013.59253	-00.56575	  3214	  72	  75	274.28829	-17.41072
OGLE-BLG-CEP-144       	013.69844	+01.72052	 16484	 704	  57	272.24521	-16.22176
U_____Sgr              	013.70630	-04.45962	   653	  33	  91	277.97220	-19.12508
V350__Sgr              	013.75848	-07.95845	   911	  29	 105	281.32291	-20.64739
OGLE-BLG-CEP-147       	013.90814	+00.64592	  4390	  90	  76	273.33216	-16.55539
V536__Ser              	014.25081	+01.33100	  2452	  92	  73	272.87749	-15.92597
OGLE-BLG-CEP-150       	014.35262	+00.34341	  3463	  78	  64	273.83068	-16.30958
BB____Sgr              	014.66859	-09.00719	   807	  28	  91	282.74945	-20.29522
XX____Sgr              	014.98764	-01.87677	  1362	  58	  91	276.18541	-16.79717
OGLE-BLG-CEP-145       	015.22084	+01.65652	      	    	 169	273.06454	-14.91911
OGLE-BLG-CEP-156       	015.25615	+00.28013	  3210	  68	  67	274.33558	-15.54497
OGLE-BLG-CEP-142       	015.26363	+03.02860	      	    	  74	271.84383	-14.22011
OGLE-BLG-CEP-133       	016.07480	+05.39058	      	    	  92	270.12908	-12.36305
CR____Ser              	016.16688	+02.78877	  1584	  51	 101	272.50887	-13.54597
OGLE-BLG-CEP-146       	016.55163	+02.15445	 21796	2865	 180	273.27099	-13.51308
OGLE-BLG-CEP-148       	016.69138	+01.70163	      	    	  82	273.74887	-13.60656
J182714-1507.1         	016.75232	-01.62269	  2242	 105	  96	276.80604	-15.11797
OGLE-BLG-CEP-157       	016.84716	+00.53164	  1802	  57	  46	274.88558	-14.02455
OGLE-BLG-CEP-141       	016.87143	+03.94524	      	    	 240	271.81729	-12.37214
OGLE-BLG-CEP-158       	017.24396	+00.23825	  6976	 224	  45	275.34487	-13.81295
OGLE-BLG-CEP-166       	017.44438	-01.78198	 16123	 805	  88	277.28413	-14.57914
OGLE-BLG-CEP-153       	017.52907	+01.66643	 25040	1563	  64	274.18979	-12.88672
YZ____Sgr              	017.75233	-07.11797	  1238	  43	  73	282.36913	-16.72303
OGLE-BLG-CEP-151       	018.16495	+02.24894	 18733	 622	 139	273.97379	-12.05083
NSVS13945310           	018.71244	-03.74539	  3683	 175	  48	279.68601	-14.35524
OGLE-BLG-CEP-167       	018.91674	-04.47685	 20162	 884	  79	280.45458	-14.50539
X_____Sct              	018.99536	-01.57333	  1683	  40	 115	277.83229	-13.10817
V459__Sct              	019.06153	-00.02981	  2116	  65	  95	276.46233	-12.33286
UZ____Sct              	019.15951	-01.49985	  3155	  78	  55	277.84320	-12.92869
OGLE-BLG-CEP-152       	019.21624	+02.59610	 14630	 336	  79	274.17037	-10.96150
OGLE-BLG-CEP-159       	019.36153	+01.08509	 17642	 549	 102	275.59879	-11.54597
OGLE-BLG-CEP-164       	019.47541	-00.10728	  3162	 103	  57	276.72983	-12.00283
J183848-1324.8         	019.56008	-03.32980	  1118	  47	 103	279.70167	-13.41278
OGLE-BLG-CEP-154       	019.61245	+02.74501	 21188	 782	 195	274.22762	-10.54239
OGLE-BLG-CEP-165       	019.67878	-00.07167	  3774	 116	  85	276.79441	-11.80628
