#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-21T13:35:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-21T13:35:56	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/505/5978/tablea1&-out=Name,OName,RAJ2000,DEJ2000,pmRA,pmDE&-out.max=300	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75055978
#Name: J/MNRAS/505/5978
#Title: Gaia EDR3 view on Galactic globular clusters (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.505.5978V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/505/5978	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75055978	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_505_5978_tablea1:
#Name: J/MNRAS/505/5978/tablea1
#Title: The catalogue of cluster proper motions
#Column	Name	(a12)	Common name, NGC identifier, etc.	[ucd=meta.id;meta.main]
#Column	OName	(a10)	Other name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
Name	OName	RAJ2000	DEJ2000	pmRA	pmDE
 	 	deg	deg	mas/yr	mas/yr
------------	----------	-------	-------	-------	-------
NGC 104     	47 Tuc    	006.024	-72.081	  5.252	 -2.551
NGC 288     	          	013.188	-26.583	  4.164	 -5.705
NGC 362     	          	015.809	-70.849	  6.694	 -2.535
Whiting 1   	          	030.737	-03.253	 -0.228	 -2.046
NGC 1261    	          	048.068	-55.216	  1.596	 -2.064
Pal 1       	          	053.333	+79.581	 -0.252	  0.007
E 1         	AM 1      	058.760	-49.615	  0.291	 -0.177
Eridanus    	          	066.185	-21.187	  0.510	 -0.301
Pal 2       	          	071.525	+31.381	  1.045	 -1.522
NGC 1851    	          	078.528	-40.047	  2.145	 -0.650
NGC 1904    	M 79      	081.044	-24.524	  2.469	 -1.594
NGC 2298    	          	102.248	-36.005	  3.320	 -2.175
NGC 2419    	          	114.535	+38.882	  0.007	 -0.523
Ko 2        	          	119.571	+26.255	 -0.601	 -0.025
Pyxis       	          	136.991	-37.221	  1.030	  0.138
NGC 2808    	          	138.013	-64.863	  0.994	  0.273
E 3         	ESO 37-1  	140.238	-77.282	 -2.727	  7.083
Pal 3       	          	151.383	+00.072	  0.086	 -0.148
NGC 3201    	          	154.403	-46.412	  8.348	 -1.958
ESO 93-8    	          	169.925	-65.220	 -4.068	  1.400
Pal 4       	          	172.320	+28.974	 -0.188	 -0.476
Crater      	Laevens 1 	174.067	-10.877	 -0.059	 -0.116
Bliss 1     	          	177.511	-41.772	 -2.340	  0.138
Ko 1        	          	179.827	+12.260	 -1.513	 -0.814
NGC 4147    	          	182.526	+18.543	 -1.707	 -2.090
NGC 4372    	          	186.439	-72.659	 -6.409	  3.297
Rup 106     	          	189.667	-51.150	 -1.254	  0.401
NGC 4590    	M 68      	189.867	-26.744	 -2.739	  1.779
BH 140      	          	193.473	-67.177	-14.848	  1.224
NGC 4833    	          	194.891	-70.877	 -8.377	 -0.963
NGC 5024    	M 53      	198.230	+18.168	 -0.133	 -1.331
NGC 5053    	          	199.113	+17.700	 -0.329	 -1.213
Kim 3       	          	200.688	-30.601	 -0.849	  3.396
NGC 5139    	omega Cen 	201.697	-47.480	 -3.250	 -6.746
NGC 5272    	M 3       	205.548	+28.377	 -0.152	 -2.670
NGC 5286    	          	206.612	-51.374	  0.198	 -0.153
