#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T17:20:59 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T17:21:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/202/catalog&-out=ID,Name,GLON,GLAT,Rsun,Rgc,X,Y,Z,Vlsr&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
ID	Name	GLON	GLAT	Rsun	Rgc	X	Y	Z	Vlsr
 	 	deg	deg	kpc	kpc	kpc	kpc	kpc	km/s
---------	-----------	------	------	-----	-----	-----	-----	-----	------
NGC 104  	47 Tuc     	305.90	-44.89	  4.3	  7.3	  1.8	 -2.5	 -3.0	 -28.0
NGC 288  	           	152.28	-89.38	  8.1	 11.4	 -0.1	  0.0	 -8.1	 -53.9
NGC 362  	           	301.53	-46.25	  8.3	  9.2	  3.0	 -4.9	 -6.0	 213.3
NGC 1261 	           	270.54	-52.13	 16.0	 17.9	  0.1	 -9.8	-12.6	  53.4
Pal 1    	           	130.07	 19.03	  9.7	 15.9	 -5.9	  7.0	  3.2	
AM 1     	E 1        	258.36	-48.47	119.1	120.5	-15.9	-77.4	-89.2	  99.5
Eridanus 	           	218.11	-41.33	 80.8	 85.8	-47.7	-37.4	-53.4	 -41.4
Pal 2    	           	170.53	 -9.07	 26.9	 34.8	-26.2	  4.4	 -4.2	-141.9
NGC 1851 	           	244.51	-35.04	 12.2	 16.8	 -4.3	 -9.0	 -7.0	 302.1
NGC 1904 	M 79       	227.23	-29.35	 12.6	 18.5	 -7.5	 -8.1	 -6.2	 188.3
NGC 2298 	           	245.63	-16.01	 10.6	 15.6	 -4.2	 -9.3	 -2.9	 129.8
NGC 2419 	           	180.37	 25.24	 82.3	 89.6	-74.4	 -0.5	 35.1	 -26.4
Pyxis    	           	261.32	  7.00	 38.5	 40.5	 -5.8	-37.8	  4.7	
NGC 2808 	           	282.19	-11.25	  9.3	 10.9	  1.9	 -8.9	 -1.8	  80.1
E 3      	           	292.27	-19.02	  4.2	  7.6	  1.5	 -3.7	 -1.4	
Pal 3    	           	240.14	 41.86	 89.4	 92.6	-33.1	-57.7	 59.6	  74.9
NGC 3201 	           	277.23	  8.64	  5.1	  8.9	  0.6	 -5.0	  0.8	 481.9
Pal 4    	           	202.31	 71.80	 99.6	102.2	-28.8	-11.8	 94.6	  76.7
NGC 4147 	           	252.85	 77.19	 18.8	 20.9	 -1.2	 -4.0	 18.3	 186.5
NGC 4372 	           	300.99	 -9.88	  4.9	  6.9	  2.5	 -4.2	 -0.8	  63.8
Rup 106  	           	300.89	 11.67	 20.6	 18.0	 10.4	-17.3	  4.2	 -49.7
NGC 4590 	M 68       	299.63	 36.05	 10.1	 10.0	  4.0	 -7.1	  5.9	 -97.1
NGC 4833 	           	303.61	 -8.01	  5.9	  6.9	  3.2	 -4.8	 -0.8	 192.7
NGC 5024 	M 53       	332.96	 79.76	 18.4	 18.9	  2.9	 -1.5	 18.2	 -71.5
NGC 5053 	           	335.69	 78.94	 16.2	 16.8	  2.8	 -1.3	 15.9	  51.8
NGC 5139 	omega Cen  	309.10	 14.97	  5.1	  6.3	  3.1	 -3.8	  1.3	 229.4
NGC 5272 	M 3        	 42.21	 78.71	 10.0	 11.9	  1.5	  1.3	  9.8	-138.0
NGC 5286 	           	311.61	 10.57	 10.7	  8.2	  7.0	 -7.9	  2.0	  55.6
AM 4     	           	320.15	 33.54	 29.2	 24.8	 18.7	-15.6	 16.1	
NGC 5466 	           	 42.15	 73.59	 16.6	 16.9	  3.5	  3.2	 15.9	 119.7
NGC 5634 	           	342.21	 49.26	 25.3	 21.3	 15.7	 -5.1	 19.2	 -36.1
NGC 5694 	           	331.06	 30.36	 33.9	 28.3	 25.6	-14.1	 17.1	-140.4
IC 4499  	           	307.35	-20.47	 18.4	 15.4	 10.5	-13.7	 -6.4	
NGC 5824 	           	332.55	 22.07	 31.3	 25.1	 25.7	-13.4	 11.7	 -33.4
Pal 5    	           	  0.85	 45.86	 22.6	 18.0	 15.8	  0.2	 16.2	 -42.4
NGC 5897 	           	342.95	 30.29	 12.7	  7.6	 10.5	 -3.2	  6.4	 110.0
NGC 5904 	M 5        	  3.86	 46.80	  7.3	  6.1	  5.0	  0.3	  5.3	  65.2
