#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-25T13:20:11 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-25T13:20:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/202/catalog&-out=ID,Name,Rsun,Rgc,X,Y,Z,Vr,Vlsr&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
ID	Name	Rsun	Rgc	X	Y	Z	Vr	Vlsr
 	 	kpc	kpc	kpc	kpc	kpc	km/s	km/s
---------	-----------	-----	-----	-----	-----	-----	------	------
NGC 104  	47 Tuc     	  4.3	  7.3	  1.8	 -2.5	 -3.0	 -18.7	 -28.0
NGC 288  	           	  8.1	 11.4	 -0.1	  0.0	 -8.1	 -46.6	 -53.9
NGC 362  	           	  8.3	  9.2	  3.0	 -4.9	 -6.0	 223.5	 213.3
NGC 1261 	           	 16.0	 17.9	  0.1	 -9.8	-12.6	  68.2	  53.4
Pal 1    	           	  9.7	 15.9	 -5.9	  7.0	  3.2	      	
AM 1     	E 1        	119.1	120.5	-15.9	-77.4	-89.2	 116.0	  99.5
Eridanus 	           	 80.8	 85.8	-47.7	-37.4	-53.4	 -23.6	 -41.4
Pal 2    	           	 26.9	 34.8	-26.2	  4.4	 -4.2	-133.0	-141.9
NGC 1851 	           	 12.2	 16.8	 -4.3	 -9.0	 -7.0	 320.9	 302.1
NGC 1904 	M 79       	 12.6	 18.5	 -7.5	 -8.1	 -6.2	 207.5	 188.3
NGC 2298 	           	 10.6	 15.6	 -4.2	 -9.3	 -2.9	 148.9	 129.8
NGC 2419 	           	 82.3	 89.6	-74.4	 -0.5	 35.1	 -20.0	 -26.4
Pyxis    	           	 38.5	 40.5	 -5.8	-37.8	  4.7	      	
NGC 2808 	           	  9.3	 10.9	  1.9	 -8.9	 -1.8	  93.6	  80.1
E 3      	           	  4.2	  7.6	  1.5	 -3.7	 -1.4	      	
Pal 3    	           	 89.4	 92.6	-33.1	-57.7	 59.6	  83.4	  74.9
NGC 3201 	           	  5.1	  8.9	  0.6	 -5.0	  0.8	 494.0	 481.9
Pal 4    	           	 99.6	102.2	-28.8	-11.8	 94.6	  74.5	  76.7
NGC 4147 	           	 18.8	 20.9	 -1.2	 -4.0	 18.3	 183.2	 186.5
NGC 4372 	           	  4.9	  6.9	  2.5	 -4.2	 -0.8	  72.3	  63.8
Rup 106  	           	 20.6	 18.0	 10.4	-17.3	  4.2	 -44.0	 -49.7
NGC 4590 	M 68       	 10.1	 10.0	  4.0	 -7.1	  5.9	 -95.2	 -97.1
NGC 4833 	           	  5.9	  6.9	  3.2	 -4.8	 -0.8	 200.2	 192.7
NGC 5024 	M 53       	 18.4	 18.9	  2.9	 -1.5	 18.2	 -79.1	 -71.5
