CG____Cas            1   0.24679855  60.95900196 116.84556767  -1.31516589  2.904  0.098  -3.1755  0.0434  -1.6112  0.0404 -0.1329 -69.666  5.344
V879__Cas            1   0.44145573  62.42425573 117.21878593   0.10476904  4.720  0.183  -2.2695  0.0494  -0.2687  0.0401 -0.1270 -80.658  6.743
EX____Cas            1   0.67404500  61.86106908 117.21870334  -0.46880739  4.115  0.151  -3.0381  0.0453  -0.6267  0.0508 -0.1122 -78.873  5.903
BF____Cas            1   3.51343175  60.98626392 118.41263037  -1.55702794  3.934  0.147  -2.5735  0.0372  -0.2741  0.0350 -0.1927 -54.383  5.290
SY____Cas            1   3.79086938  58.42428076 118.18553555  -4.11278130  2.128  0.081  -2.1346  0.0426  -1.8825  0.0359 -0.2458 -47.112  4.122
V363__Cas            1   3.80970947  60.34045849 118.46441589  -2.21691763  1.155  0.036  -1.5366  0.0432  -2.4532  0.0360 -0.1898 -39.945  4.493
CT____Cas            1   5.01279810  63.17978932 119.40023020   0.52346536  3.449  0.082  -1.6139  0.0479  -0.7928  0.0462 -0.1679 -60.002  7.597
V824__Cas            1   5.63032624  63.03304154 119.66052257   0.34511019  2.635  0.064  -2.8576  0.0416  -0.4635  0.0346 -0.2533 -65.533  2.545
NP____Cas            1   5.99020348  62.95015239 119.81392122   0.24486729  4.290  0.121  -1.4926  0.0451  -0.2602  0.0484 -0.1307 -85.092  3.922
NO____Cas            1   6.01933380  61.34164255 119.65656899  -1.35598661  2.977  0.115  -2.6886  0.0461  -1.0316  0.0390 -0.2145 -73.431  2.671
V825__Cas            1   6.32568809  60.76477644 119.74427261  -1.94511507  4.167  0.150  -1.9250  0.0391  -0.3293  0.0387 -0.2117 -58.007  2.742
AS____Cas            1   6.40720415  64.22989110 120.13057150   1.49861136  2.918  0.074  -2.4555  0.0451  -0.5602  0.0406 -0.2446 -49.302  4.651
TU____Cas            1   6.58104575  51.28034397 118.93046999 -11.39618253  0.887  0.030   1.5161  0.0629  -3.3902  0.0405 -0.5432 -18.572  2.740
V379__Cas            1   6.64980316  60.79817030 119.90510410  -1.92752046  1.656  0.050  -2.6486  0.0425  -1.1715  0.0493 -0.3670 -43.473  4.857
AP____Cas            1   8.31747331  62.90726031 120.86505830   0.10844324  3.776  0.091  -2.0580  0.0571  -0.6860  0.0463 -0.4279 -57.736  3.875
J003532.93+641714.6  1   8.88728796  64.28733926 121.20910661   1.46875153  3.989  0.091  -2.2840  0.0690   0.0595  0.0560 -0.2628 -81.947  4.838
FW____Cas            1   9.18544446  62.27423664 121.22345092  -0.54875284  4.245  0.144  -1.5916  0.0392   0.0541  0.0366 -0.2137 -43.600  4.212
V827__Cas            1   9.32823808  63.21568043 121.34139156   0.38756002  2.806  0.071  -1.5171  0.0453  -0.5175  0.0458 -0.2575 -56.113  1.820
J011.3013+58.5011    1  11.30137364  58.50112910 122.11554731  -4.36074146  4.931  0.205  -1.3481  0.0374  -0.8885  0.0381 -0.4169 -58.191  3.228
OP____Cas            1  11.62454123  63.54327297 122.38172364   0.67680018  3.069  0.079  -1.2662  0.0518  -0.7744  0.0514 -0.2944 -61.339  4.970
XY____Cas            1  12.47192087  60.12737915 122.73866665  -2.74378916  2.066  0.068  -1.4023  0.0378  -0.8819  0.0458 -0.3178 -36.177  4.230
AU____Cas            1  13.80387145  64.26075296 123.34215274   1.39201194  4.174  0.105  -1.5240  0.0384   0.1229  0.0372 -0.3056 -60.447  4.716
J014.8936+45.4067    0  14.89364868  45.40671903 124.42872738 -17.44138218  6.283  0.251   1.2871  0.0664  -0.6887  0.0614  0.0853 -223.407  4.831
V553__Cas            1  17.04579054  62.26991438 124.87856693  -0.53852708  4.604  0.178  -1.4593  0.0431  -0.0028  0.0461 -0.4527 -60.549  5.116
OZ____Cas            1  18.58138479  62.04403222 125.61103271  -0.70860128  1.912  0.067  -1.2179  0.0539  -0.8066  0.0588 -0.4266 -36.854  4.863
AW____Cas            1  19.00501817  61.62070533 125.84914445  -1.11172867  2.818  0.094  -0.2024  0.0484  -0.7476  0.0553 -0.4925 -57.593  2.839
V1100_Cas            1  20.33778336  64.10078567 126.19185464   1.41853573  3.082  0.079  -1.2624  0.0456   0.1908  0.0478 -0.4031 -39.959  5.588
V1013_Cas            1  20.42652073  61.76872544 126.50372036  -0.89293292  3.565  0.127  -2.0263  0.0342   0.2844  0.0375 -0.3928 -69.857  3.306
V556__Cas            1  20.96562314  62.52222613 126.66230820  -0.11444085  3.434  0.087  -1.3195  0.0437  -0.1407  0.0473 -0.4658 -83.831  3.416
BV____Cas            1  22.50492382  62.28406862 127.40131809  -0.25240904  3.449  0.119  -1.3678  0.0365  -0.2716  0.0394 -0.2941 -89.979  4.064
V470__Cas            1  23.07571012  56.49941536 128.58014377  -5.92352288  3.354  0.126  -1.8174  0.0494  -0.6155  0.0602  0.0381 -49.823  2.528
V636__Cas            1  23.18009883  63.59380465 127.50272039   1.08901728  0.685  0.035  -0.4502  0.0382  -0.1413  0.0445 -0.3732 -23.954  0.895
RW____Cas            1  24.30840752  57.75921614 129.02996263  -4.56930089  3.032  0.099  -0.8466  0.0595  -0.9024  0.0937 -0.0588 -55.706  6.173
J013725.59+634128.8  1  24.35667172  63.69136304 128.00128141   1.27317525  5.100  0.115  -0.8255  0.0287   0.0967  0.0332 -0.5101 -67.875  5.474
AY____Cas            1  24.74993829  64.98923764 127.93448173   2.58046414  2.532  0.083  -0.5913  0.0470  -0.5850  0.0463 -0.4725 -18.514  5.393
V1016_Cas            1  25.81988994  59.99761612 129.37588672  -2.22392932  4.991  0.206  -0.8734  0.0265   0.1562  0.0429 -0.7475 -65.928  2.237
V1154_Cas            1  26.63107309  65.02629300 128.70702405   2.77403057  2.331  0.070  -1.0525  0.0761  -0.1256  0.0700 -0.1503 -35.569  0.727
IO____Cas            1  26.76130834  59.60625844 129.92059555  -2.50883785 11.548  0.410  -0.9244  0.0206   0.1996  0.0359 -0.7428 -119.174 15.290
BY____Cas            0  26.79965292  61.42248858 129.54981089  -0.73072440  1.929  0.058  -1.2132  0.0396   0.4241  0.0516 -0.5926 -51.278  2.227
VV____Cas            1  27.77924634  59.88821457 130.35854179  -2.12022003  3.242  0.123  -1.1970  0.0320  -0.0704  0.0615 -0.7060 -54.557  3.385
J015830.96+574911.6  1  29.62896619  57.81984970 131.79173047  -3.89342182 11.367  0.469  -0.6706  0.0357   0.4165  0.0422 -0.2077 -109.693  8.253
V395__Cas            1  32.62153624  63.29753427 131.67519437   1.77558045  2.640  0.061  -1.2993  0.0635   0.6768  0.0847 -0.5911 -47.477  5.487
GL____Cas            1  32.69321503  59.25369368 132.92748842  -2.06970064  5.086  0.184  -0.5815  0.0614  -0.2007  0.0573 -0.2801 -57.469  3.498
UX____Per            1  33.28118918  58.07995152 133.57901958  -3.09317798  4.811  0.164  -0.2617  0.0723   0.0526  0.0841  0.5186 -30.766  9.956
V1017_Cas            1  33.60315050  65.59944769 131.36732325   4.09575267  5.222  0.218  -0.8358  0.0316   0.1673  0.0416 -0.3463 -44.191  4.430
J021635.96+651035.5  1  34.14985374  65.17655193 131.71916996   3.76793534  5.637  0.194  -0.9858  0.0310   0.4477  0.0407 -0.2290 -51.361  6.245
V440__Per            1  35.96558739  55.36485137 135.87307374  -5.16753284  0.761  0.026  -1.8308  0.0864  -2.4155  0.0857  0.5929 -26.222  0.565
GM____Cas            1  36.73620592  60.57141487 134.40338279  -0.15550588  2.351  0.056  -0.7986  0.0362  -0.6640  0.0666  0.0051 -59.020  2.186
SZ____Cas            1  36.80736435  59.46060116 134.83733846  -1.17867956  2.278  0.068   0.1923  0.0880  -0.6801  0.0931  0.3543 -46.699  2.447
VY____Per            1  36.89776110  58.91715117 135.07730664  -1.66850890  2.067  0.068   0.0873  0.0739  -0.7883  0.0800  0.1898 -46.554  6.518
DW____Per            1  38.46902157  57.02749614 136.55805131  -3.10930856  3.358  0.115  -0.9444  0.0790  -0.4190  0.0914  0.4198 -52.911  2.996
UY____Per            1  38.63041588  58.83161775 135.93996979  -1.41201933  2.332  0.075  -0.1301  0.0658  -0.9865  0.0801  0.2745 -56.861  5.326
GO____Cas            1  38.77408126  59.38407485 135.79355356  -0.87422743  3.438  0.111  -0.3917  0.1744  -0.2191  0.1733  0.6969 -73.158  5.555
DF____Cas            1  41.18047635  61.46469941 136.03506264   1.50896906  2.612  0.066  -0.4463  0.0360  -0.2211  0.0535  0.3419 -32.195  7.506
LT____Cas            1  41.46453781  63.30457457 135.37258166   3.23070155  5.792  0.247  -1.2380  0.0285   0.4368  0.0406 -0.1189 -72.559  3.821
SU____Cas            0  42.99483400  68.88846685 133.46751140   8.51943819  0.371  0.014   3.2310  0.0848  -7.8016  0.1196  0.0619  -6.141  1.311
V833__Cas            1  43.66666398  63.55480729 136.14709444   3.89038256  5.101  0.183  -0.8130  0.0495   1.1398  0.0554  0.1696 -68.723  3.688
V371__Per            1  43.87992236  42.58881217 146.02115842 -14.65196215  3.303  0.110  -2.5309  0.0779  -0.3165  0.0826  0.3106 -13.375  7.641
J045.1949+59.3418    1  45.19492269  59.34182251 138.75998239   0.50439378  5.977  0.304  -1.4390  0.0490   0.5414  0.0778  0.4730 -56.218  5.829
V883__Per            1  46.03670355  57.29821852 140.13157191  -1.07372997  4.881  0.160  -0.0813  0.0779  -0.4139  0.0799  0.0638 -65.374  2.666
V836__Cas            1  47.18169636  62.13752918 138.23847890   3.41735783  2.606  0.082   1.4533  0.0392  -0.4639  0.0479  0.0571 -51.794  1.718
