body,horizons_id,query_url,retrieved_utc,epoch_tdb,response_sha256,license
Sun,10,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%2710%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:16Z,A.D. 2026-Jul-04 00:00:00.0000,dd4ae1d98bab5c70d1690696bca9354b7e95da19ccc514dad32ce30d02c06ba2,NASA/JPL-Caltech Horizons System - publicly available data
Mercury,1,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%271%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:16Z,A.D. 2026-Jul-04 00:00:00.0000,af748d6674c02d0ddb37c4821a4d9ffd9135d7b8d5c881cff881ff1c55d78123,NASA/JPL-Caltech Horizons System - publicly available data
Venus,2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%272%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:17Z,A.D. 2026-Jul-04 00:00:00.0000,081daa7288f18a05bf848107dcaa4ff3058b5e4653a99cf2fd09844e12f2c6ff,NASA/JPL-Caltech Horizons System - publicly available data
Earth,3,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%273%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:18Z,A.D. 2026-Jul-04 00:00:00.0000,5ab3bbd3a605ef1bec68d5e0c56a85f79d7c56dc6806397a9853a0c7f0b7e57b,NASA/JPL-Caltech Horizons System - publicly available data
Mars,4,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:19Z,A.D. 2026-Jul-04 00:00:00.0000,bcd8cc33b9b3fc615a7937444184f8939d4d42b3c2e20368eedbacc9cb0a86a8,NASA/JPL-Caltech Horizons System - publicly available data
Jupiter,5,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%275%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:20Z,A.D. 2026-Jul-04 00:00:00.0000,0504f72f6b7fd4358ac06a206c784e098fcbaf7a008fa01b3f8b65a535a0e4a2,NASA/JPL-Caltech Horizons System - publicly available data
Saturn,6,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%276%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:20Z,A.D. 2026-Jul-04 00:00:00.0000,81d820faa59a4188eb3aaaa2af8a3d0dad4a224a01608c1537e112ee8f1e615e,NASA/JPL-Caltech Horizons System - publicly available data
Uranus,7,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%277%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:21Z,A.D. 2026-Jul-04 00:00:00.0000,9a0570ff58ba6b838652a454cb3b5add8797e7e2842dee8ec65042636be86b39,NASA/JPL-Caltech Horizons System - publicly available data
Neptune,8,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%278%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%400%27&START_TIME=%272026-07-04%27&STOP_TIME=%272026-07-05%27&STEP_SIZE=%271+d%27&VEC_TABLE=%272%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27,2026-07-04T14:59:22Z,A.D. 2026-Jul-04 00:00:00.0000,d8ffc854ab7b7ade042fa51762dd151fad114ea993575ced9e65a4c9d4109be1,NASA/JPL-Caltech Horizons System - publicly available data
harris_vr.tsv,VII/202,"https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/202/catalog&-out=ID,Name,Rsun,Rgc,X,Y,Z,Vr,Vlsr&-out.max=200",2026-07-21T13:35:57Z,-,65505827159c438b2fd5f3afa256dafe0db3c4bd1fdd59b588b3cab7a5cd526d,Harris (1996; 2010 ed.) via CDS VizieR - publicly available data
