elapsed_days,stamp_diff_arcsec,lrl_diff_arcsec,interp_diff_arcsec,timing_diff_days
2199.200,-4.9281,2.5791,2.5776,3.355356e-4
2287.200,-5.1257,2.6826,2.6810,3.487556e-4
2375.150,-5.3227,2.7859,2.7841,3.619510e-4
2463.150,-5.5202,2.8892,2.8873,3.751479e-4
2551.100,-5.7173,2.9929,2.9904,3.883490e-4
2639.050,-5.9143,3.0967,3.0936,4.015546e-4
2727.050,-6.1117,3.1999,3.1968,4.147471e-4
2815.000,-6.3085,3.3036,3.2998,4.279244e-4
2902.950,-6.5053,3.4073,3.4030,4.411148e-4
2990.950,-6.7026,3.5105,3.5060,4.543012e-4
3078.900,-6.8995,3.6141,3.6091,4.674911e-4
3166.900,-7.0967,3.7169,3.7118,4.806422e-4
3254.850,-7.2934,3.8205,3.8146,4.938054e-4
3342.800,-7.4901,3.9242,3.9179,5.069927e-4
3430.800,-7.6874,4.0275,4.0210,5.201863e-4
3518.750,-7.8842,4.1311,4.1241,5.333747e-4
3606.750,-8.0817,4.2339,4.2268,5.465243e-4
3694.700,-8.2785,4.3376,4.3297,5.597050e-4
3782.650,-8.4754,4.4413,4.4330,5.729055e-4
3870.650,-8.6730,4.5428,4.5365,5.861387e-4
3958.600,-8.8700,4.6464,4.6395,5.993254e-4
4046.550,-9.0670,4.7500,4.7427,6.125207e-4
4134.550,-9.2648,4.8532,4.8456,6.257128e-4
4222.500,-9.4619,4.9571,4.9490,6.389383e-4
4310.500,-9.6598,5.0607,5.0526,6.521823e-4
4398.450,-9.8568,5.1643,5.1557,6.653840e-4
4486.400,-10.0538,5.2680,5.2589,6.785812e-4
4574.400,-10.2516,5.3712,5.3620,6.917874e-4
4662.350,-10.4488,5.4750,5.4652,7.050007e-4
4750.350,-10.6464,5.5784,5.5686,7.182143e-4
4838.300,-10.8430,5.6820,5.6714,7.313778e-4
4926.250,-11.0396,5.7858,5.7747,7.445683e-4
5014.250,-11.2372,5.8890,5.8778,7.577584e-4
